총세대수,준공연도,건물형태,난방방식,승강기설치여부,실차량수,총면적,면적10-30,면적30-40,면적40-50,면적50-60,면적60-70,면적70-80,면적80-200,임대보증금,임대료
446,1996,복도식,지역,1,287,24452.719000000005,0,446,0,0,0,0,0,14897000.0,184220.0
357,1998,복도식,지역,1,387,26201.658000000003,0,0,357,0,0,0,0,22336000.0,341250.0
535,1998,복도식,개별,1,479,37220.016899999995,0,89,446,0,0,0,0,16132666.666666666,260080.0
476,1997,복도식,개별,1,110,28050.679999999997,0,476,0,0,0,0,0,13412000.0,179740.0
960,1994,복도식,중앙,1,423,53779.2,0,960,0,0,0,0,0,13155000.0,177500.0
624,1998,복도식,중앙,1,539,41523.6812,0,268,356,0,0,0,0,18541000.0,216393.33333333334
1489,1996,혼합식,지역,0,458,82318.6,0,1429,60,0,0,0,0,14255333.333333334,255246.66666666666
390,2003,복도식,개별,1,408,25517.622,0,0,390,0,0,0,0,29212000.0,115740.0
489,1999,복도식,지역,1,301,43465.5104,0,0,489,0,0,0,0,0.0,0.0
504,1996,복도식,지역,1,163,28235.800000000003,0,504,0,0,0,0,0,14523000.0,180190.0
720,1996,복도식,지역,1,593,48984.299999999996,0,90,630,0,0,0,0,16129000.0,263425.0
567,2002,복도식,개별,1,491,35859.08930000001,0,178,389,0,0,0,0,25760333.333333332,67070.0
623,1995,복도식,중앙,1,292,36242.76999999999,0,89,534,0,0,0,0,10588333.333333334,156483.33333333334
1,1994,복도식,중앙,1,242,68.92999999999999,0,0,1,0,0,0,0,13101000.0,221030.0
920,1999,복도식,중앙,1,822,60691.7437,0,119,801,0,0,0,0,12083500.0,152070.0
540,1995,복도식,중앙,1,107,31096.800000000003,0,540,0,0,0,0,0,9671000.0,137020.0
491,1999,복도식,중앙,1,272,29291.760000000002,0,163,328,0,0,0,0,14234666.666666666,179246.66666666666
312,1999,복도식,중앙,1,273,20297.485500000003,0,153,159,0,0,0,0,15741333.333333334,225256.66666666666
316,1994,복도식,중앙,1,157,15914.7,0,316,0,0,0,0,0,10161000.0,146530.0
387,1995,복도식,중앙,1,250,21063.730000000003,0,387,0,0,0,0,0,11879000.0,161250.0
390,1994,계단식,개별,0,113,17561.7,0,390,0,0,0,0,0,9447000.0,132910.0
854,2000,복도식,개별,1,727,53105.7342,0,676,178,0,0,0,0,14639750.0,199027.5
540,1994,복도식,지역,1,163,30623.399999999998,0,540,0,0,0,0,0,10691000.0,157280.0
427,1998,복도식,개별,1,331,26913.174,0,178,249,0,0,0,0,15263500.0,207117.5
178,1995,복도식,중앙,1,136,8869.82,0,178,0,0,0,0,0,8832000.0,137930.0
476,1995,복도식,개별,1,335,26317.68,0,476,0,0,0,0,0,10319000.0,146130.0
757,2001,복도식,개별,1,654,50147.31050000001,0,130,627,0,0,0,0,13751000.0,131163.33333333334
296,1993,복도식,중앙,1,270,18920.690000000002,0,89,207,0,0,0,0,9559000.0,189250.0
428,1998,복도식,중앙,1,319,29003.377200000006,0,0,428,0,0,0,0,13564000.0,173080.0
239,1995,복도식,중앙,1,172,13829.07,0,119,120,0,0,0,0,10755500.0,197290.0
385,1998,복도식,개별,1,262,23548.8538,0,89,296,0,0,0,0,13485333.333333334,233793.33333333334
590,1997,복도식,개별,1,409,41714.5937,0,0,590,0,0,0,0,15406500.0,246675.0
245,2002,복도식,개별,1,236,13284.663999999999,0,191,54,0,0,0,0,16366000.0,211055.0
350,2004,복도식,지역,1,399,26594.9874,0,0,0,350,0,0,0,37409250.0,300527.5
440,2013,복도식,개별,1,710,27467.567400000004,26,197,217,0,0,0,0,29648400.0,283108.0
873,2013,복도식,지역,1,823,53815.1108,0,557,316,0,0,0,0,33009000.0,318100.0
533,2013,복도식,개별,1,495,37826.7322,0,264,104,165,0,0,0,31167500.0,337225.0
619,2011,혼합식,개별,1,588,40780.6626,0,247,196,176,0,0,0,34526000.0,225295.0
1350,2003,계단식,개별,1,1077,95466.6006,0,0,0,1350,0,0,0,18717500.0,229825.0
840,2004,계단식,개별,1,564,62478.9424,0,0,0,840,0,0,0,21287666.666666668,270373.3333333333
828,2007,혼합식,개별,1,569,52018.643500000006,0,462,366,0,0,0,0,14979500.0,134810.0
890,2009,혼합식,개별,1,892,70195.702,0,0,0,890,0,0,0,30968666.666666668,252290.0
961,2011,혼합식,개별,1,702,59574.3917,0,475,380,106,0,0,0,16929333.333333332,143503.33333333334
291,2012,복도식,개별,1,300,21221.3259,0,0,200,91,0,0,0,46516333.333333336,386970.0
1002,2007,복도식,개별,1,683,66213.4572,0,386,508,108,0,0,0,19073500.0,136070.0
875,2003,복도식,개별,1,565,50735.721300000005,0,557,318,0,0,0,0,13333000.0,129396.66666666667
332,2022,복도식,개별,1,303,19729.166,32,152,148,0,0,0,0,17573666.666666668,187670.0
1934,2017,복도식,지역,1,1236,93547.3486,1166,464,304,0,0,0,0,12387600.0,180920.0
1128,2013,혼합식,지역,1,990,83417.0324,0,0,410,718,0,0,0,24191666.666666668,291610.0
964,2012,혼합식,개별,1,916,71821.6364,0,0,288,676,0,0,0,33126750.0,192070.0
1301,2010,혼합식,지역,1,1141,99035.6811,0,0,0,1301,0,0,0,30968666.666666668,185810.0
1084,2009,복도식,개별,1,780,70172.44380000001,0,458,626,0,0,0,0,18890500.0,133145.0
499,2008,혼합식,개별,1,568,39771.3258,0,0,0,499,0,0,0,36378666.666666664,246696.66666666666
457,2009,혼합식,개별,1,498,32257.811,0,119,78,260,0,0,0,28682500.0,197867.5
808,2008,복도식,개별,1,855,51915.9475,0,219,589,0,0,0,0,20972000.0,143545.0
684,2020,복도식,개별,1,653,36991.5974,276,220,188,0,0,0,0,16253250.0,180832.5
232,2020,복도식,개별,1,232,9151.349900000001,232,0,0,0,0,0,0,13145000.0,106030.0
194,2003,계단식,개별,0,157,10551.019,0,106,88,0,0,0,0,16322666.666666666,180133.33333333334
976,2010,혼합식,개별,1,900,65319.69930000001,0,548,0,428,0,0,0,22204000.0,152667.5
860,2008,혼합식,개별,1,780,57951.5159,0,462,0,398,0,0,0,23139750.0,158035.0
340,2016,복도식,지역,1,227,16091.3,120,220,0,0,0,0,0,11888000.0,159790.0
178,2016,복도식,지역,1,176,9660.555199999999,100,0,78,0,0,0,0,19992500.0,201890.0
1937,2008,혼합식,개별,1,1608,135068.8832,0,492,491,954,0,0,0,28377000.0,193957.6923076923
714,2002,복도식,개별,1,572,41392.6092,0,480,234,0,0,0,0,15763500.0,120290.0
295,2007,복도식,개별,1,280,18329.8098,0,152,143,0,0,0,0,21321800.0,145050.0
1088,2014,혼합식,개별,1,973,69359.7076,0,584,394,110,0,0,0,22332750.0,226990.0
705,2005,복도식,지역,1,654,42879.3615,0,294,411,0,0,0,0,21657500.0,181760.0
302,2005,계단식,개별,1,327,21509.923799999997,0,0,0,302,0,0,0,24639000.0,216870.0
594,2007,혼합식,지역,1,608,40784.739,0,180,210,204,0,0,0,25529666.666666668,174376.66666666666
801,2006,혼합식,개별,1,715,57686.79719999999,0,0,0,801,0,0,0,31155666.666666668,186926.66666666666
414,2002,계단식,지역,1,411,29483.138400000003,0,0,0,414,0,0,0,17963000.0,222940.0
714,2003,혼합식,지역,1,648,52555.7242,0,0,0,714,0,0,0,18668000.0,245070.0
1278,2008,복도식,지역,1,1234,87773.6159,0,375,356,547,0,0,0,24218250.0,246652.5
297,2012,복도식,개별,1,294,18323.3312,0,160,137,0,0,0,0,42555333.333333336,245466.66666666666
870,2010,복도식,지역,1,827,57165.6866,0,340,446,84,0,0,0,30796666.666666668,244446.66666666666
1696,2004,복도식,지역,1,1522,106511.99380000001,0,438,1258,0,0,0,0,17251000.0,208315.0
324,2006,복도식,개별,1,388,24449.7528,0,0,0,324,0,0,0,26545000.0,268075.0
630,2006,복도식,개별,1,623,40905.2088,0,261,369,0,0,0,0,19308500.0,203160.0
230,2009,복도식,개별,1,243,13579.2438,0,166,10,54,0,0,0,23953250.0,215127.5
621,2003,복도식,개별,1,619,37336.4514,0,268,353,0,0,0,0,15891500.0,158730.0
80,2020,복도식,개별,1,54,4217.2588,36,28,16,0,0,0,0,12561666.666666666,160950.0
30,2020,복도식,개별,1,22,1312.161,30,0,0,0,0,0,0,12018000.0,115700.0
245,1997,복도식,개별,1,153,10829.0,0,245,0,0,0,0,0,9611000.0,53660.0
1442,2005,복도식,개별,1,1353,91200.02709999999,0,343,1099,0,0,0,0,20079500.0,114995.0
1308,2006,복도식,개별,1,1440,84645.2728,0,291,757,260,0,0,0,24989750.0,134417.5
240,2011,복도식,개별,1,212,17861.920000000002,0,0,0,240,0,0,0,32443000.0,192250.0
754,2011,복도식,개별,1,768,56318.1682,0,0,0,754,0,0,0,32443000.0,192250.0
949,2008,혼합식,개별,1,890,60496.323200000006,0,96,216,537,0,0,0,35269000.0,195586.66666666666
672,2014,복도식,개별,1,625,38433.8976,0,516,156,0,0,0,0,20501000.0,201885.0
853,2007,복도식,개별,1,923,58484.5851,0,0,551,302,0,0,0,27252500.0,149340.0
384,2007,혼합식,개별,1,433,28429.2318,0,84,0,300,0,0,0,26426333.333333332,147520.0
355,2007,혼합식,개별,1,377,23942.1035,0,114,96,145,0,0,0,26013500.0,144085.0
449,2007,혼합식,개별,1,439,31566.2817,0,200,0,249,0,0,0,27747800.0,154202.0
901,2004,계단식,개별,1,840,67084.5742,0,0,0,901,0,0,0,20113333.333333332,171766.66666666666
3,1997,계단식,개별,1,532,233.08499999999998,0,0,0,3,0,0,0,29302000.0,163500.0
861,2006,복도식,개별,1,686,53273.528099999996,0,498,363,0,0,0,0,19635500.0,94505.0
1,1996,복도식,개별,1,132,78.0,0,0,0,1,0,0,0,22327000.0,123750.0
492,2005,복도식,개별,1,346,28767.0157,0,248,244,0,0,0,0,14582666.666666666,84678.33333333333
137,1995,복도식,개별,1,72,6108.830000000001,0,137,0,0,0,0,0,9487000.0,81130.0
815,2007,복도식,개별,1,723,50626.8428,0,503,312,0,0,0,0,20597500.0,112905.0
676,2011,복도식,지역,1,702,41894.369399999996,0,389,0,287,0,0,0,24993200.0,141290.0
1232,2011,복도식,지역,1,922,73838.2965,0,709,523,0,0,0,0,20426500.0,115940.0
94,2003,복도식,개별,1,75,5333.28,0,70,24,0,0,0,0,14579500.0,120445.0
496,2004,복도식,개별,1,362,29301.659,0,290,206,0,0,0,0,15791500.0,95050.0
711,2007,혼합식,개별,1,706,50628.068100000004,0,0,355,356,0,0,0,22297000.0,122930.0
214,1997,복도식,개별,1,108,11487.52,0,214,0,0,0,0,0,8917000.0,68110.0
70,1995,복도식,개별,1,45,3082.1,0,70,0,0,0,0,0,9249000.0,77380.0
141,2004,계단식,개별,1,144,11293.8321,0,0,0,141,0,0,0,36797000.0,219630.0
1147,2011,복도식,개별,1,867,64422.7941,246,595,103,203,0,0,0,20770142.85714286,134404.2857142857
244,2002,복도식,개별,1,195,13699.819999999998,0,107,137,0,0,0,0,14738250.0,84655.0
183,1999,복도식,개별,1,130,9089.61,0,183,0,0,0,0,0,12483000.0,68650.0
10,2000,혼합식,개별,1,304,799.0941,0,0,0,10,0,0,0,23536000.0,130070.0
390,2002,계단식,개별,1,406,28984.1424,0,0,0,390,0,0,0,19907666.666666668,77023.33333333333
996,2009,복도식,지역,1,814,65287.323000000004,0,444,390,162,0,0,0,24655500.0,134192.5
632,2009,복도식,지역,1,610,41013.5712,0,332,180,120,0,0,0,24655500.0,134195.0
355,2009,복도식,지역,1,325,23438.3422,0,128,143,84,0,0,0,26216333.333333332,141893.33333333334
603,2009,복도식,지역,1,607,40112.9106,0,214,264,125,0,0,0,24655500.0,134192.5
1215,2011,복도식,지역,1,894,80440.1802,0,590,625,0,0,0,0,22658142.85714286,128900.0
826,2010,혼합식,지역,1,703,55426.7123,0,552,0,274,0,0,0,27252200.0,164490.0
1067,2009,복도식,지역,1,881,69990.7876,0,422,513,132,0,0,0,24465000.0,135630.0
375,2010,혼합식,개별,1,418,29041.7478,0,0,0,375,0,0,0,38402500.0,219875.0
946,2008,혼합식,개별,1,720,73431.6505,0,68,69,809,0,0,0,27777166.666666668,184135.0
1072,2004,계단식,개별,1,1023,78409.554,0,0,0,1072,0,0,0,18968333.333333332,177453.33333333334
427,2007,혼합식,개별,1,418,31854.08,0,40,0,387,0,0,0,29962000.0,182260.0
307,2007,복도식,개별,1,287,19134.3957,0,198,81,28,0,0,0,18225750.0,140432.5
880,2002,계단식,중앙,1,740,65907.4102,0,0,0,880,0,0,0,25096000.0,100365.0
861,2005,복도식,개별,1,727,54474.0403,0,345,516,0,0,0,0,18303250.0,164637.5
605,2004,계단식,개별,1,415,44821.5343,0,0,0,605,0,0,0,18048000.0,245797.5
1216,2010,복도식,지역,1,945,69787.8348,0,390,702,124,0,0,0,27465000.0,171471.42857142858
853,2009,계단식,지역,1,984,67945.3355,0,0,125,728,0,0,0,31210750.0,191937.5
1647,2010,복도식,지역,1,1375,99444.8664,0,1173,238,236,0,0,0,32345666.666666668,173272.22222222222
45,1996,계단식,개별,1,28,2241.7780000000002,14,12,19,0,0,0,0,12724909.090909092,70658.18181818182
918,2012,복도식,개별,1,767,56096.7924,180,308,302,128,0,0,0,21319142.85714286,178639.2857142857
266,1998,복도식,개별,1,255,16977.695,0,132,0,134,0,0,0,15989000.0,124716.66666666667
638,2004,복도식,개별,1,537,37502.6718,0,345,293,0,0,0,0,16287500.0,155400.0
558,2004,계단식,개별,1,591,39433.152,0,0,0,558,0,0,0,23750000.0,228365.0
534,2003,계단식,개별,1,541,37742.159400000004,0,0,0,534,0,0,0,16088000.0,209890.0
946,2020,복도식,개별,1,627,49519.204,340,390,216,0,0,0,0,17728000.0,195000.0
720,2010,복도식,개별,1,568,48720.7367,0,248,187,285,0,0,0,22631000.0,177026.0
494,2009,복도식,개별,1,478,35326.3126,0,0,324,170,0,0,0,27465500.0,218475.0
753,2008,복도식,개별,1,575,52143.1351,0,0,566,187,0,0,0,27465500.0,218475.0
708,2007,혼합식,개별,1,704,52884.548299999995,0,0,0,708,0,0,0,24031750.0,192320.0
407,2007,복도식,개별,1,431,27555.6094,0,0,407,0,0,0,0,19895000.0,160400.0
693,2003,복도식,개별,1,320,39387.4848,0,435,258,0,0,0,0,12560333.333333334,92466.66666666667
1538,2020,복도식,지역,1,1132,86340.8508,516,384,638,0,0,0,0,21090000.0,210500.0
674,2018,복도식,지역,1,666,33132.7462,352,178,144,0,0,0,0,19322666.666666668,204913.33333333334
341,2001,복도식,지역,1,344,25598.162099999998,0,0,341,0,0,0,0,21495500.0,217760.0
389,2005,계단식,개별,1,423,26520.267099999997,0,0,0,389,0,0,0,23513000.0,279975.0
980,2011,복도식,지역,1,801,58710.5344,56,504,308,112,0,0,0,25233000.0,178125.0
980,2011,혼합식,지역,1,881,64154.2154,66,320,378,216,0,0,0,28657500.0,197952.5
1185,2005,혼합식,개별,1,922,72069.3969,0,510,385,290,0,0,0,20038000.0,239140.0
880,2012,혼합식,지역,1,878,60699.0468,0,208,316,356,0,0,0,34988333.333333336,235610.0
100,2016,복도식,지역,1,267,5154.625,75,25,0,0,0,0,0,17365000.0,183325.0
2289,2011,복도식,지역,1,1657,142698.54119999998,336,916,670,367,0,0,0,33853600.0,224820.0
375,2011,복도식,지역,1,331,23114.397099999995,0,229,146,0,0,0,0,33379000.0,227564.0
710,2001,복도식,지역,1,623,45953.265,0,230,480,0,0,0,0,21608000.0,151560.0
2018,2016,복도식,지역,1,1487,113921.3586,740,564,714,0,0,0,0,32778000.0,226446.0
534,2017,복도식,지역,1,299,28219.1132,248,156,130,0,0,0,0,35334666.666666664,237693.33333333334
124,2017,복도식,지역,1,109,4723.5072,124,0,0,0,0,0,0,18676000.0,102910.0
1450,2002,복도식,지역,1,1311,97253.87680000001,0,312,1138,0,0,0,0,16885000.0,107135.0
1161,2012,복도식,지역,1,971,69494.1418,157,355,298,351,0,0,0,21653428.57142857,195242.85714285713
913,2013,복도식,지역,1,779,56189.9796,0,471,370,72,0,0,0,25131800.0,221972.0
625,2012,복도식,지역,1,577,37259.356,0,356,183,86,0,0,0,24651000.0,220903.33333333334
858,2008,복도식,개별,1,757,51201.4746,0,527,331,0,0,0,0,19354500.0,209432.5
315,2008,복도식,개별,1,284,19032.0801,0,192,123,0,0,0,0,20282250.0,219480.0
463,2005,복도식,개별,1,361,26299.3964,0,305,158,0,0,0,0,19412000.0,221830.0
970,2012,복도식,지역,1,826,57944.668000000005,176,332,326,136,0,0,0,39470750.0,268580.0
754,2011,복도식,지역,1,807,52670.6998,0,116,262,376,0,0,0,37569500.0,263340.0
1354,2011,복도식,지역,1,1295,92358.1838,0,420,356,578,0,0,0,36384000.0,256652.0
593,2010,복도식,지역,1,585,40134.8984,0,211,195,187,0,0,0,32521750.0,240617.5
1174,2010,복도식,지역,1,136,79874.261,0,422,382,370,0,0,0,38202500.0,265486.6666666667
875,2010,복도식,지역,1,977,68373.1627,0,66,89,720,0,0,0,49518875.0,321417.5
898,2010,복도식,지역,1,844,61289.0615,0,319,293,286,0,0,0,38352200.0,266652.0
1060,2012,복도식,지역,1,835,61451.9482,210,454,232,164,0,0,0,29764166.666666668,236195.0
818,2004,계단식,개별,1,845,58284.476200000005,0,0,0,818,0,0,0,18953666.666666668,241723.33333333334
638,2004,복도식,개별,1,521,38320.0728,0,293,345,0,0,0,0,13923200.0,171580.0
879,2006,혼합식,개별,1,867,65291.5729,0,0,0,879,0,0,0,23723666.666666668,246550.0
1035,2006,혼합식,개별,1,935,65527.5858,0,384,453,198,0,0,0,19732000.0,202510.0
494,2004,복도식,개별,1,411,29948.8321,0,228,266,0,0,0,0,14668333.333333334,177723.33333333334
1018,2005,혼합식,개별,1,798,70817.9963,0,177,180,661,0,0,0,16670500.0,114475.0
525,2010,혼합식,개별,1,462,34997.8818,0,127,296,102,0,0,0,19613333.333333332,144510.0
496,2012,복도식,개별,1,454,29223.634,0,290,206,0,0,0,0,14614500.0,171570.0
477,2010,복도식,지역,1,488,29505.4293,0,187,176,114,0,0,0,30671200.0,209600.0
882,2009,복도식,지역,1,808,55970.772,0,307,437,138,0,0,0,30909600.0,211222.0
364,2021,복도식,지역,1,317,21127.778400000003,110,102,152,0,0,0,0,39709333.333333336,219806.66666666666
1275,2011,복도식,개별,1,1313,87394.263,0,216,816,243,0,0,0,23149666.666666668,165006.66666666666
1179,2010,복도식,지역,1,1090,79756.37719999999,0,352,453,374,0,0,0,25797000.0,186732.5
891,2010,복도식,개별,1,824,57639.409400000004,0,335,248,308,0,0,0,35924800.0,240806.0
1590,2015,복도식,지역,1,1196,91050.5518,492,794,304,0,0,0,0,25160750.0,218275.0
1152,2015,복도식,지역,1,796,43681.916,1152,0,0,0,0,0,0,17633000.0,111026.66666666667
644,2004,복도식,개별,1,551,36279.56300000001,0,362,282,0,0,0,0,20759000.0,194762.5
1088,2021,복도식,지역,1,904,61884.8066,330,212,546,0,0,0,0,19393333.333333332,162673.33333333334
782,2016,복도식,개별,1,626,44947.5764,232,286,264,0,0,0,0,21250000.0,186750.0
730,2018,복도식,지역,1,700,37424.868,310,280,140,0,0,0,0,25911666.666666668,206670.0
